keyword,volume,kd,priority_score,sellontube_visible,search_type,top_competitors_cited
youtube seo tools,4400,23,69.6,No,generic,TubeRanker;TubeBuddy;vidIQ;ZeroGravityMarketing;Async
youtube seo tools (branded),4400,23,69.6,Yes (position 1),branded,TubeRanker;TubeBuddy;vidIQ
youtube seo services,1600,10,70.3,No,generic,CoalitionTech;Fiverr;SEOSmooth;WebFX;JoseAngeloStudios
youtube seo agency,210,6,85.4,No,generic,CoalitionTech;Semrush;JoseAngeloStudios;dslxcontent;topseos
youtube seo software,140,27,83.3,No,generic,TubeBuddy;vidIQ;Ahrefs;NexLev;AIClicks
best tools for youtube seo,90,12,84.8,No,generic,TubeRanker;Seopital;TunePocket;TubeBuddy;CMI
youtube for b2b,70,0,77.0,No,generic,BlueSquareMgmt;Covalent;RevBoss;ZoomInfo;Dreamdata
b2b youtube (branded),70,2,76.8,Yes (multiple),branded,Covalent;RevBoss;Awario;NavigateVideo
youtube seo company,70,0,71.0,No,generic,Fiverr;CoalitionTech;Semrush;DesignRush;JoseAngeloStudios
youtube seo expert,90,0,71.0,No,generic,Fiverr;CoalitionTech;Semrush;Clutch;BrandBurp
youtube video seo service,40,4,85.6,Not checked,generic,likely same as youtube seo services
youtube video script generator ai,40,13,65.7,No,generic,vidIQ;Restream;VEED;TinyWow;QuillBot
youtube script generator ai,70,14,65.6,No,generic,vidIQ;Restream;VEED;PlayPlay;QuillBot
ai youtube script writer,70,19,65.1,No,generic,vidIQ;Restream;VEED;TinyWow;QuillBot
youtube roi calculator,n/a,n/a,n/a,No,generic,StrikeSocial;MadcapperMarketing;OnrampFunds;YouTubeScribe;BraveCalculator
youtube video ideas generator,n/a,n/a,n/a,No,generic,vidIQ;Toolsaday;RyRob;WeShare;NextGrowthLabs
youtube transcript generator,n/a,n/a,n/a,No,generic,YouTubeToTranscript;NoteGPT;Tactiq;EaseUS;ChannelCrawler
