query,impressions,clicks,ctr,position,page,has_intent_signal
youtube marketing strategy,293,0,0,58.1,https://sellontube.com/blog/youtube-marketing-strategy,True
b2b video content ideas,55,0,0,70.1,https://sellontube.com/youtube-video-ideas,False
youtube marketing strategies,35,0,0,35.9,https://sellontube.com/blog/youtube-marketing-strategy,True
youtube services for b2b,35,0,0,30.6,https://sellontube.com/youtube-for/b2b-companies,True
best tool for youtube seo,23,0,0,85.9,https://sellontube.com/tools/youtube-seo-tool,True
youtube marketing for small business,21,0,0,41.3,https://sellontube.com/youtube-for/small-business,True
youtube marketing plan,17,0,0,26.2,https://sellontube.com/blog/youtube-marketing-strategy,True
youtube roi,17,0,0,21.6,https://sellontube.com/blog/youtube-marketing-roi,True
b2b video ideas,12,0,0,57.6,https://sellontube.com/youtube-video-ideas,False
how to create a youtube channel for business,11,0,0,48.6,https://sellontube.com/blog/create-youtube-channel-for-business,True
youtube for small business,11,0,0,35.9,https://sellontube.com/youtube-for/small-business,True
clickbait title generator,10,0,0,67.1,https://sellontube.com/tools/youtube-title-generator,False
youtube ads services for b2b,10,0,0,82.1,https://sellontube.com/youtube-for/marketing-agencies,True
youtube services for b2b,10,0,0,59.2,https://sellontube.com/youtube-topics,True
free youtube transcript,9,0,0,60.4,https://sellontube.com/tools/youtube-transcript-generator,True
youtube marketing for agencies,9,0,0,18.2,https://sellontube.com/youtube-for/marketing-agencies,True
youtube marketing for small businesses,9,0,0,42,https://sellontube.com/youtube-for/small-business,True
youtube services for b2b,9,0,0,51.9,https://sellontube.com/blog/youtube-marketing-b2b,True
create a youtube business channel,8,0,0,45.4,https://sellontube.com/blog/create-youtube-channel-for-business,True
create youtube channel for business,8,0,0,32.8,https://sellontube.com/blog/create-youtube-channel-for-business,True
youtube marketing roi,8,0,0,17.2,https://sellontube.com/blog/youtube-marketing-roi,True
how to create a youtube channel for a business,7,0,0,48.7,https://sellontube.com/blog/create-youtube-channel-for-business,True
youtube marketing strategie,7,0,0,44.9,https://sellontube.com/blog/youtube-marketing-strategy,True
creating a youtube channel for a business,6,0,0,56.2,https://sellontube.com/blog/create-youtube-channel-for-business,True
youtube b2b marketing best practices,6,0,0,47.5,https://sellontube.com/blog/youtube-marketing-b2b,True
youtube transcript generator,6,0,0,75,https://sellontube.com/tools/youtube-transcript-generator,True
"""b2b marketing""",5,0,0,58,https://sellontube.com/youtube-for/b2b-companies,True
android youtube search intent,5,0,0,32.6,https://sellontube.com/blog/search-intent-youtube-seo-power,True
b2b youtube,5,0,0,57.6,https://sellontube.com/blog/youtube-marketing-b2b,False
create a youtube channel for business,5,0,0,44.6,https://sellontube.com/blog/create-youtube-channel-for-business,True
how to create a business youtube channel,5,0,0,35.4,https://sellontube.com/blog/create-youtube-channel-for-business,True
marketing agency youtube,5,0,0,76.4,https://sellontube.com/youtube-for/marketing-agencies,True
youtube for coaches,5,0,0,16.6,https://sellontube.com/youtube-for-coaches,True
youtube strategy marketing,5,0,0,40.6,https://sellontube.com/blog/youtube-marketing-strategy,True
youtube+marketing+strategy,5,0,0,40.6,https://sellontube.com/blog/youtube-marketing-strategy,True
