cluster_name,cluster_priority,anchor_keyword,anchor_intent_score,supporting_keywords,search_volume,cpc,gsc_impressions,validated,existing_page,publish_week,suggested_url_slug,keyword_difficulty
YouTube for B2B Marketing,21,youtube services for b2b,9,"youtube b2b marketing best practices, b2b video marketing strategy, b2b youtube",30,0,35,False,/blog/youtube-video-ideas-generator-for-b2b,1,/blog/youtube-services-for-b2b,0
YouTube for Small Business,20,youtube marketing for small business,6,"youtube for small business, youtube ads for small business, youtube advertising for small business, youtube marketing for small businesses, how to use youtube for small business",130,89.44,21,True,NONE,2,/blog/youtube-marketing-for-small-business,23
YouTube Ads for Business,20,youtube tv for business cost,8,"youtube ads services for b2b, youtube tv for business nfl sunday ticket, youtube tv for business use, youtube tv sunday ticket for business",70,42.51,10,False,NONE,1,/blog/youtube-tv-for-business-cost,20
YouTube Keyword Research Tools,17,best tool for youtube keyword research,5,"best youtube keyword research tool 2021, best youtube keyword research, best youtube keyword research tool 2022, best youtube keyword research tool 2020, best youtube keyword research tool 2023, youtube keyword research tool free, keyword research tool free youtube",1340,18.34,0,False,NONE,2,/blog/best-tool-for-youtube-keyword-research,33
Video Content Marketing Agency,15,video content marketing agency,6,"video content marketing companies, video content marketing services, video marketing services seo",250,32.07,0,False,NONE,2,/blog/video-content-marketing-agency,0
YouTube Lead Generation,14,lead generation youtube,5,"youtube lead generation, youtube lead generation ads, lead generation youtube ads, lead generation through youtube",130,75.35,0,False,NONE,2,/blog/lead-generation-youtube,24
YouTube SEO Company/Services,13,youtube seo company,6,youtube seo companies,140,72.3,0,False,NONE,2,/blog/youtube-seo-company,0
YouTube SEO Free Tools,12,best youtube seo tools free,3,"best free seo tools for youtube, youtube seo tools free download, free youtube seo software, youtube seo tools free online, free youtube seo tool, free seo tools youtube",360,92.37,0,False,/blog/best-youtube-seo-tools-for-business,3,/blog/best-youtube-seo-tools-free,26
Video SEO Strategy,11,video seo best practices,3,"how to do seo for youtube video, how to do seo for youtube videos, video seo tips, youtube video seo tips, video seo optimization checklist",310,0.0,0,False,NONE,3,/blog/video-seo-best-practices,40
YouTube Business Plan/Strategy,10,business plan for youtube channel,4,"business plan for youtube, business plan for youtube channel pdf",110,16.52,0,False,/blog/create-youtube-channel-for-business,3,/blog/business-plan-for-youtube-channel,0
YouTube for Ecommerce/Shopify,10,youtube ads for shopify,3,"shopify tutorial for beginners youtube, shopify for beginners youtube, youtube shopify tutorial for beginners, youtube shopify for beginners",50,0.0,0,False,NONE,3,/blog/youtube-ads-for-shopify,0
