topic_cluster,total_keywords,avg_search_volume,avg_keyword_difficulty,avg_priority_score
youtube_general,6611,17312.0,9.6,0.365
video_marketing_general,4503,6391.0,23.6,0.3258
youtube_thumbnails,1045,788.0,17.0,0.4025
youtube_growth_strategy,804,1655.0,16.4,0.4431
youtube_tools_software,722,4620.0,24.0,0.4057
video_production,581,2651.0,18.7,0.3539
youtube_transcription_captions,486,2433.0,26.4,0.3605
youtube_seo,415,2381.0,4.9,0.4806
youtube_automation,238,1766.0,19.6,0.4179
youtube_monetization,188,799.0,9.0,0.4725
youtube_algorithm,129,1484.0,4.2,0.4768
youtube_shorts_strategy,129,5931.0,19.0,0.3984
youtube_analytics,126,5275.0,4.2,0.478
youtube_content_strategy,47,289.0,9.5,0.4515
youtube_ads,28,1191.0,33.8,0.397
